"price","desc","loc"
"Rp 3.200.000.000","4 KT - 4 KM - 6 m2","Penjaringan, Jakarta Utara"
"Rp 310.000.000","4 KT - 1 KM - 96 m2","Palmerah, Jakarta Barat"
"Rp 1.950.000.000","5 KT - 3 KM - 180 m2","Cibubur, Jakarta Timur"
"Rp 1.650.000.000","3 KT - 3 KM - 86 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.850.000.000","3 KT - 2 KM - 118 m2","Cibubur, Jakarta Timur"
"Rp 5.000.000.000","3 KT - 1 KM - 254 m2","Grogol Petamburan, Jakarta Barat"
"Rp 1.700.000.000","3 KT - 2 KM - 145 m2","Ciracas, Jakarta Timur"
"Rp 1.485.000.000","3 KT - 2 KM - 200 m2","Cibubur, Jakarta Timur"
"Rp 2.000.000.000","4 KT - 2 KM - 140 m2","Cibubur, Jakarta Timur"
"Rp 6.000.000.000","5 KT - 4 KM - 500 m2","Cilangkap, Jakarta Timur"
"Rp 1.800.000.001","3 KT - 2 KM - 90 m2","Cengkareng, Jakarta Barat"
"Rp 180.000.000","1 KT - 1 KM - 17 m2","Kalideres, Jakarta Barat"
"Rp 400.000.000","2 KT - 1 KM - 45 m2","Pulo Gadung, Jakarta Timur"
"Rp 675.000.000","1 KT - 1 KM - 38 m2","Tebet, Jakarta Selatan"
"Rp 1.450.000.000","4 KT - 3 KM - 180 m2","Cibubur, Jakarta Timur"
"Rp 7.000.000.000","3 KT - 5 KM - 70 m2","Penjaringan, Jakarta Utara"
"Rp 6.000.000.000","4 KT - 3 KM - 193 m2","Taman Sari, Jakarta Barat"
"Rp 3.000.000.000","5 KT - 4 KM - 297 m2","Kalideres, Jakarta Barat"
"Rp 2.500.000.000","6 KT - 5 KM - 240 m2","Kalideres, Jakarta Barat"
"Rp 4.550.000.000","5 KT - 4 KM - 220 m2","Cakung, Jakarta Timur"
"Rp 800.000.000","4 KT - 3 KM - 115 m2","Cakung, Jakarta Timur"
"Rp 5.500.000.000","6 KT - 5 KM - 200 m2","Pulo Gadung, Jakarta Timur"
"Rp 3.900.000.000","3 KT - 3 KM - 136 m2","Cilandak, Jakarta Selatan"
"Rp 7.616.290.000","3 KT - 2 KM - 237 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.910.000.000","3 KT - 2 KM - 179 m2","Palmerah, Jakarta Barat"
"Rp 3.190.000.000","3 KT - 3 KM - 266 m2","Palmerah, Jakarta Barat"
"Rp 2.450.000.000","5 KT - 4 KM - 196 m2","Cibubur, Jakarta Timur"
"Rp 2.400.000.000","4 KT - 3 KM - 224 m2","Penjaringan, Jakarta Utara"
"Rp 1.500.000.000","4 KT - 2 KM - 90 m2","Cakung, Jakarta Timur"
"Rp 428.800.000","3 KT - 1 KM - 52 m2","Mampang Prapatan, Jakarta Selatan"
